epoch,step,train_loss
2,49,25.16021156311035
4,99,18.792766571044922
6,149,23.129119873046875
9,199,15.075207710266113
11,249,13.131034851074219
13,299,10.266219139099121
15,349,20.427928924560547
18,399,13.711235046386719
20,449,14.885337829589844
22,499,24.675434112548828
24,549,7.971799373626709
27,599,12.723487854003906
29,649,11.224998474121094
31,699,12.888786315917969
34,749,23.224132537841797
36,799,8.049814224243164
38,849,7.764135360717773
40,899,9.361879348754883
43,949,10.656396865844727
45,999,18.82764434814453
47,1049,9.254986763000488
49,1099,18.671838760375977
52,1149,14.822437286376953
54,1199,11.965747833251953
56,1249,6.937148094177246
59,1299,6.376772403717041
61,1349,8.319836616516113
63,1399,5.015455722808838
65,1449,8.30409049987793
68,1499,13.509672164916992
70,1549,9.542839050292969
72,1599,9.2081298828125
74,1649,13.761284828186035
77,1699,9.55300521850586
79,1749,4.702000141143799
81,1799,7.2652482986450195
84,1849,4.787632465362549
86,1899,7.274324417114258
88,1949,1.763517141342163
90,1999,5.515854835510254
93,2049,7.553999423980713
95,2099,6.851541519165039
97,2149,2.764308214187622
99,2199,2.3088862895965576
102,2249,5.139188289642334
104,2299,2.914026975631714
106,2349,2.6131134033203125
109,2399,3.8359732627868652
111,2449,1.5825154781341553
113,2499,6.276926040649414
115,2549,2.718546152114868
118,2599,1.3301331996917725
120,2649,3.2373452186584473
122,2699,3.7480082511901855
124,2749,2.758213758468628
127,2799,3.111328601837158
129,2849,2.599623680114746
131,2899,3.6593050956726074
134,2949,1.8478944301605225
136,2999,2.031536340713501
138,3049,2.4989476203918457
140,3099,1.2607977390289307
143,3149,3.5950098037719727
145,3199,1.9304336309432983
147,3249,2.6838490962982178
149,3299,1.176038146018982
152,3349,1.4087215662002563
154,3399,1.4192254543304443
156,3449,1.9428794384002686
159,3499,0.8141651153564453
161,3549,1.5240256786346436
163,3599,1.3979170322418213
165,3649,1.3929071426391602
168,3699,2.2349188327789307
170,3749,1.397894024848938
172,3799,1.482723355293274
174,3849,0.6134061813354492
177,3899,1.948671817779541
179,3949,0.9535712003707886
181,3999,1.534695029258728
184,4049,1.1324917078018188
186,4099,1.5119794607162476
188,4149,2.1696739196777344
190,4199,1.6817376613616943
193,4249,1.112321138381958
195,4299,1.3236157894134521
197,4349,1.64766263961792
199,4399,1.4796761274337769
202,4449,1.2233914136886597
204,4499,1.1571701765060425
206,4549,2.1174871921539307
209,4599,1.9519050121307373
211,4649,1.1190738677978516
213,4699,2.1507816314697266
215,4749,2.14729642868042
218,4799,1.4024738073349
220,4849,1.5577781200408936
222,4899,1.8846266269683838
224,4949,1.7018276453018188
227,4999,1.2439613342285156
229,5049,1.8288168907165527
231,5099,1.4004580974578857
234,5149,0.9304980635643005
236,5199,1.1672132015228271
238,5249,1.0261951684951782
240,5299,0.6699464321136475
243,5349,1.1139062643051147
245,5399,1.4531619548797607
247,5449,1.46998131275177
249,5499,1.8031768798828125
252,5549,2.255509376525879
254,5599,1.2237861156463623
256,5649,1.5838943719863892
259,5699,1.1416665315628052
261,5749,1.1682852506637573
263,5799,1.3207881450653076
265,5849,1.3464279174804688
268,5899,1.5977671146392822
270,5949,1.6191561222076416
272,5999,1.4168097972869873
274,6049,1.1575212478637695
277,6099,0.7640423774719238
279,6149,1.6361202001571655
281,6199,2.1728763580322266
284,6249,0.9964940547943115
286,6299,1.230114459991455
288,6349,1.014521598815918
290,6399,1.4468498229980469
293,6449,0.7080058455467224
295,6499,1.211853265762329
297,6549,0.9342530965805054
299,6599,0.7863209843635559
302,6649,2.1188230514526367
304,6699,1.0034857988357544
306,6749,1.9123674631118774
309,6799,1.7274861335754395
311,6849,1.9985219240188599
313,6899,0.8939685821533203
315,6949,1.2509883642196655
318,6999,1.4842143058776855
320,7049,1.1275997161865234
322,7099,1.3207883834838867
324,7149,1.2233638763427734
327,7199,1.0523734092712402
329,7249,0.9377598166465759
331,7299,2.5953197479248047
334,7349,1.720566987991333
336,7399,1.4339675903320312
338,7449,1.8864996433258057
340,7499,1.103022813796997
343,7549,1.2229260206222534
345,7599,1.4074673652648926
347,7649,1.1460886001586914
349,7699,0.5821119546890259
352,7749,0.9744468927383423
354,7799,1.248961329460144
356,7849,2.382080078125
359,7899,0.9655749201774597
361,7949,0.9924088716506958
363,7999,1.0522428750991821
365,8049,1.23354971408844
368,8099,1.4789676666259766
370,8149,1.0101356506347656
372,8199,0.7634861469268799
374,8249,1.5631141662597656
377,8299,0.755895733833313
379,8349,1.295668601989746
381,8399,0.7853372097015381
384,8449,1.2891117334365845
386,8499,1.2228604555130005
388,8549,1.3799829483032227
390,8599,1.0043871402740479
393,8649,1.073629379272461
395,8699,1.2200592756271362
397,8749,1.405583381652832
399,8799,1.4835187196731567
402,8849,1.1660633087158203
404,8899,1.0366454124450684
406,8949,1.110503911972046
409,8999,1.393794298171997
411,9049,1.2848042249679565
413,9099,1.5131261348724365
415,9149,0.8974645137786865
418,9199,1.1786386966705322
420,9249,1.211317777633667
422,9299,1.182976245880127
424,9349,0.8014166951179504
427,9399,0.9572674632072449
429,9449,1.4010440111160278
431,9499,1.2709320783615112
434,9549,0.885854184627533
436,9599,0.7445775270462036
438,9649,1.1175925731658936
